# Vendor Raw Capture Session: round2_1
# Started: 2026-02-15T14:13:29.360049+00:00
# Format: raw vendor responses, no parsing applied

╔══VENDOR_CALL══════════════════════════════════════════
vendor: yfinance
endpoint: download
ticker: AAPL
timestamp: 2026-02-15T14:13:29.359041+00:00
params: start=2021-01-01 end=2024-01-01 interval=1d auto_adjust=true
call_number: 1
╠══RAW_PAYLOAD══════════════════════════════════════════
Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-01-04,125.8567123,129.9413873,123.2794736,129.8538621,143301900
2021-01-05,127.4127579,128.1227244,124.903597,125.350973,97664900
2021-01-06,123.123848,127.4516654,122.9098875,124.213098,155088000
2021-01-07,127.3252487,128.0157603,124.3492714,124.8355426,109578200
2021-01-08,128.4242096,128.9882859,126.6541755,128.7937656,105158200
2021-01-11,125.4385147,126.5958425,124.9716985,125.6427551,100384500
2021-01-12,125.2634506,126.1290127,123.3767162,124.971685,91951100
2021-01-13,127.2960892,127.8407106,124.9619931,125.2245689,88636800
2021-01-14,125.3704376,127.4030476,125.2245474,127.2085421,90221800
2021-01-15,123.6490173,126.6444492,123.512862,125.243986,111598500
2021-01-19,124.3200836,125.1759256,123.4545216,124.2714535,90757300
2021-01-20,128.4047852,128.8521612,125.0203414,125.1273217,104319500
2021-01-21,133.1118469,135.8349681,129.9219097,130.1261501,120150900
2021-01-22,135.2514648,136.0100467,131.3126656,132.5380635,114459400
2021-01-25,138.9957581,141.1061733,132.7909328,139.1416483,157611700
2021-01-26,139.229126,140.3378233,137.4882674,139.6570469,98390600
2021-01-27,138.1593475,140.3378475,136.5546588,139.4917256,140843800
2021-01-28,133.3258209,138.0912871,132.94653,135.6891064,142621100
2021-01-29,128.3366699,132.9854203,126.6347211,132.1004033,177523800
2021-02-01,130.4568024,131.66276,127.3349356,130.0775115,106239800
2021-02-02,131.2835083,132.5672566,130.9139374,132.0031802,83305400
2021-02-03,130.2622986,132.0420525,129.9413579,132.0323176,89880900
2021-02-04,133.6175537,133.6272738,130.894433,132.5574864,84183100
2021-02-05,133.2036133,133.8464538,132.3270233,133.7782819,75693800
2021-02-08,133.3497467,133.3984495,131.41149,132.4926258,71297200
2021-02-09,132.4730988,134.2944801,132.3172708,133.0672365,76774200
2021-02-10,131.8692627,133.4276616,130.9050017,132.9309143,73046600
2021-02-11,131.6160278,132.8432569,130.2913932,132.3659937,64280000
2021-02-12,131.849762,132.0056048,130.2134567,130.8562973,60145100
2021-02-16,129.7264557,132.4731151,129.3368486,131.9666482,80576300
2021-02-17,127.4376297,128.7817489,126.10326,127.8369716,97918500
2021-02-18,126.3369751,126.6194273,124.0967823,125.8402278,96856700
2021-02-19,126.4927902,127.3109577,125.4506228,126.8531787,87668800
2021-02-22,122.7234573,126.3467225,122.3338576,124.6811833,103916400
2021-02-23,122.5870819,123.4149766,115.3113339,120.5416927,158273000
2021-02-24,122.0903397,122.2948778,119.0514783,121.6910054,111039900
2021-02-25,117.8437424,123.1715003,117.4054473,121.437789,148199500
2021-02-26,118.1066971,121.6033374,118.0482523,119.4021055,164560400
2021-03-01,124.4668808,124.6032396,119.5969035,120.5319382,116307900
2021-03-02,121.8663254,125.3727079,121.7591853,125.0707716,102260900
2021-03-03,118.8858795,122.4409643,118.6715993,121.5643669,112966300
2021-03-04,117.0060883,120.3858542,115.5353603,118.5839638,178155000
2021-03-05,118.2625427,118.7690246,114.5126612,117.8339897,153766600
2021-03-08,113.3341293,117.8534684,113.1880285,117.785289,154376600
2021-03-09,117.9411087,118.8858855,115.7009236,115.9346804,129525800
2021-03-10,116.859993,118.9930382,116.3437691,118.5255245,111943300
2021-03-11,118.7884903,120.0059847,118.1066964,119.3534095,103026500
2021-03-12,117.8826752,118.0190339,116.0613083,117.2690607,88105100
2021-03-15,120.7657166,120.7754586,117.2885524,118.2528135,92403800
2021-03-16,122.3046265,123.9117207,121.4767317,122.4312432,115227900
2021-03-17,121.5156937,122.5870873,119.1586187,120.8241577,111932600
2021-03-18,117.3956985,119.9767886,117.1911603,119.6845869,121229700
2021-03-19,116.8697052,118.2722609,116.567769,116.7820492,185549500
2021-03-22,120.1813126,120.6488337,117.1327091,117.2008885,111912300
2021-03-23,119.3534088,121.0091982,118.9638091,120.1228661,95467100
2021-03-24,116.9671326,119.7040654,116.9476559,119.6261439,88530500
2021-03-25,117.4541245,118.4963069,115.905475,116.4314335,98844700
2021-03-26,118.0579987,118.3209816,115.827548,117.2203619,94071200
2021-03-29,118.2333374,119.3923947,117.5905041,118.4865784,80819200
2021-03-30,116.7820587,117.2690565,115.7691025,116.9865969,85671900
2021-03-31,118.9735565,120.3079257,117.999561,118.4865587,118323800
2021-04-01,119.8014603,120.9507754,119.3047204,120.4443009,75089100
2021-04-05,122.6260223,122.8792632,119.8696136,120.6488129,88651200
2021-04-06,122.9279861,123.8240603,122.382551,123.2104458,80171300
2021-04-07,124.574028,124.5935047,121.8857983,122.5578576,83466700
2021-04-08,126.9700317,126.9992504,125.1778839,125.5966948,88844600
2021-04-09,129.5414124,129.5803656,126.1032091,126.4246295,106686700
2021-04-12,127.8271713,129.3953046,127.2330335,129.0738843,91420000
2021-04-13,130.9342194,131.158249,128.4992304,128.9959777,91266500
2021-04-14,128.5966797,131.4894487,128.236306,131.4310114,87222800
2021-04-15,131.0024109,131.4894087,130.1647741,130.340101,89347100
2021-04-16,130.6712952,131.1680277,129.814174,130.807654,84922400
2021-04-19,131.3335266,131.9471484,129.8725336,130.038111,94264200
2021-04-20,129.6485291,132.0055962,128.3823321,131.5088638,94812300
2021-04-21,130.0283966,130.2718955,127.8856095,128.9180424,68847100
2021-04-22,128.5089874,130.6615095,127.9927709,129.5803737,84566500
2021-04-23,130.8270874,131.6062719,128.7232535,128.7232535,78657500
2021-04-26,131.2166901,131.547845,130.0868516,131.3238302,66905100
2021-04-27,130.8952789,131.8887587,130.6225613,131.4991515,66015800
2021-04-28,130.1063538,131.50891,129.6193559,130.8173665,107760100
2021-04-29,130.0088959,133.5055505,129.0056818,132.9211473,151101000
2021-04-30,128.0414276,130.0868088,127.66157,128.3530984,109839500
2021-05-03,129.0933533,130.58358,128.4018248,128.6063555,75135100
2021-05-04,124.525322,128.0706724,123.4052257,127.7784708,137564700
2021-05-05,124.768837,127.0577176,124.6422128,125.8402232,84000900
2021-05-06,126.366188,126.3759227,123.8240516,124.5642903,78128300
2021-05-07,127.0393677,128.0637881,126.3271326,127.663783,78973300
2021-05-10,123.7612076,126.3857012,123.7221807,126.2588768,88071200
2021-05-11,122.8440857,123.1953128,119.7805381,120.4927658,126142800
2021-05-12,119.7805405,121.6050085,119.2732058,120.3952047,112172300
2021-05-13,121.9269791,123.0782463,121.2342685,121.5464762,105861300
2021-05-14,124.3465958,124.7758842,122.7855572,123.1758187,81918000
2021-05-17,123.1953125,123.839245,122.1220991,123.7319229,74244600
2021-05-18,121.8098984,123.8977887,121.7416032,123.4782589,63342900
2021-05-19,121.6537857,121.878181,119.8683446,120.1610426,92612000
2021-05-20,124.2100143,124.6100345,122.0538285,122.1806678,76857100
2021-05-21,122.3757858,124.8832062,122.1611416,124.7075888,79295400
2021-05-24,124.0050964,124.8246462,122.8733465,122.9416417,63092900
2021-05-25,123.8099976,125.1954263,123.2441187,124.7075939,72009500
2021-05-26,123.7612076,124.2880595,123.3416778,123.8685297,56575900
2021-05-27,122.2294235,124.531958,122.0342965,123.361181,94625600
2021-05-28,121.5757294,122.7367551,121.5171928,122.5123523,71311100
2021-06-01,121.2537918,122.2977371,120.9220744,122.0343149,67637100
2021-06-02,122.0147858,122.1904031,121.0293846,121.25378,59278900
2021-06-03,120.5317917,121.8098907,120.1317716,121.644032,76229200
2021-06-04,122.824585,123.0880146,120.834258,121.0489022,75169300
2021-06-07,122.8343353,123.2441065,121.7903901,123.0977575,71057600
2021-06-08,123.6538696,125.3319961,123.1367764,123.5172792,74403800
2021-06-09,124.0343781,124.6392837,123.439231,124.1124318,56877900
2021-06-10,123.0392151,125.0685688,122.8733564,123.9270527,71186400
2021-06-11,124.2490311,124.3368434,123.0294685,123.4489983,53522400
2021-06-14,127.3028107,127.3613473,123.975848,124.7075855,96906500
2021-06-15,126.483284,127.4199147,126.2393715,126.775982,62746300
2021-06-16,126.9808197,127.7028059,125.331984,127.1954639,91815000
2021-06-17,128.5808868,129.3223903,126.4929968,126.6393532,96721700
2021-06-18,127.2832947,128.3077152,127.0686505,127.5272072,108953300
2021-06-21,129.0784454,129.1857675,126.0636917,127.1271462,79663300
2021-06-22,130.7175751,130.815146,128.4150406,128.9126316,74783600
2021-06-23,130.444397,131.0493101,129.9858403,130.5126996,60214200
2021-06-24,130.1614685,131.3615138,129.6931458,131.1761379,68711000
2021-06-25,129.8687439,130.6297495,129.576046,130.2102273,70783700
2021-06-28,131.4980927,131.9566493,130.1029204,130.161457,62111300
2021-06-29,133.010376,133.1664836,131.078593,131.5176326,64556100
2021-06-30,133.6250305,134.06407,132.5615607,132.8542587,63261400
2021-07-01,133.9274445,133.9859811,132.4542038,133.2737609,52485800
2021-07-02,136.5519409,136.5909604,134.3957485,134.54209,78852600
2021-07-06,138.5618134,139.6642877,136.6592989,136.6592989,108181800
2021-07-07,141.0497131,141.3619134,139.1862183,140.04478,104911600
2021-07-08,139.7521057,140.5521309,137.2446782,138.1325232,105575500
2021-07-09,141.5765839,142.1034284,139.1764781,139.2740491,99890800
2021-07-12,140.9813843,142.7570739,140.4935594,142.6497518,76299700
2021-07-13,142.0936432,143.8693331,140.1325924,140.5228463,100827100
